Title,Subject,List,"Send Date","Send Weekday","Total Recipients","Successful Deliveries","Soft Bounces","Hard Bounces","Total Bounces","Times Forwarded","Forwarded Opens","Unique Opens","Open Rate","Total Opens","Unique Clicks","Click Rate","Total Clicks",Unsubscribes,"Abuse Complaints","Times Liked on Facebook","Folder Id","Unique Id"
"Professionals - Assist-audit #2 - ES","Censo de los programas de Detección Temprana e Intervención Breve para usuarios de sustancias en la Región de las Américas",Mailchimp_2,"Apr 20, 2017 2:56 pm",Thursday,1854,1811,10,33,43,0,0,420,23.19%,717,131,7.23%,168,1,0,0,0,5570a6bd68
"Professionals - Assist-audit, #1 - PT","Participe do levantamento dos programas de detecção precoce e intervenção breve para usuários de substâncias psicoativas na Região das América",ASSIST-AUDIT,"Feb 16, 2017 1:29 pm",Thursday,10,10,0,0,0,0,0,5,50.00%,9,1,10.00%,1,0,0,0,0,5f2e78541d
"Professionals - Assist-audit, #1 - ES","Censo de los programas de Detección Temprana e Intervención Breve para usuarios de sustancias psicoactivas en la Región de las Américas",ASSIST-AUDIT,"Feb 16, 2017 1:26 pm",Thursday,953,929,6,18,24,0,0,414,44.56%,783,146,15.72%,173,3,0,0,0,a72df42351
"Centers TreatNet #1 - PT","Participe do levantamento dos programas de detecção precoce e intervenção breve para usuários de substâncias psicoativas nas Américas",Treatnet,"Feb 16, 2017 12:48 pm",Thursday,16,14,0,2,2,0,0,2,14.29%,3,1,7.14%,1,0,0,0,0,afa9405428
"Centers TreatNet #1 - ES","Censo de los programas de Detección Temprana e Intervención Breve para usuarios de sustancias psicoactivas desarrollados en las Américas",Treatnet,"Feb 16, 2017 12:44 pm",Thursday,34,32,0,2,2,0,0,16,50.00%,36,10,31.25%,10,0,0,0,0,bf693d73b5
"Centers #1 - PT-br","Participe do levantamento dos programas de detecção precoce e intervenção breve para usuários de substâncias, desenvolvidos nas Américas",COPOLAD,"Feb 16, 2017 7:57 am",Thursday,80,35,15,30,45,0,0,6,17.14%,9,1,2.86%,1,0,0,0,0,3fc242af11
"Centers #1 - ES","Censo de los programas de Detección Temprana e Intervención Breve para usuarios de sustancias en la Región de las Américas",COPOLAD,"Feb 16, 2017 7:48 am",Thursday,894,736,40,118,158,0,0,262,35.60%,666,76,10.33%,139,0,1,0,0,c5727eb51a
